id	title	description	link	price	availability	image link	brand	gtin	identifier exists	produc type
31181452	CARTUCHERA 2 PISOS JIRAFA	"
"	https://www.tienda.chimola.com.ar/productos/cartuchera-2-pisos-jirafa/	360 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/cartuchera-de-pisos-chimola-jirafa_iz136490242xvzgrandexpz1xfz237691206-31454181808-1xsz237691206xim1-2ef14cb5edb862a4c615422033480078-640-0.jpg	Chimola		no	Inicio > Productos
31181400	"MOCHILA TRAMA MEDIANA 14"""	"
"	https://www.tienda.chimola.com.ar/productos/mochila-trama-mediana-14/	1100 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/mochila-trama-mediana-con-bolsillos-chimola-wild-spirit-dreams-14_iz805929637xvzgrandexpz1xfz237691206-46100814977-1xsz237691206xim1-5b9fb8db0ee8514e5615422031715644-640-0.jpg	Chimola		no	Inicio > Productos
31181346	CARTUCHERA 1 PISO KOALA	"
"	https://www.tienda.chimola.com.ar/productos/cartuchera-1-piso-koala/	400 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/cartuchera-de-piso-chimola-wild-spirit-koala_iz823953960xvzgrandexpz1xfz237691206-18110640751-2xsz237691206xim1-d70e723dd28ea580d015422029836482-640-0.jpg	Chimola		no	Inicio > Productos
31181307	CARTUCHERA CANOPLA 2 CIERRES BUHO		https://www.tienda.chimola.com.ar/productos/cartuchera-canopla-2-cierres-buho/	340 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/cartuchera-canopla-cierres-chimola-wild-spirit-buho_iz823922124xvzgrandexpz1xfz237691206-380788067-1xsz237691206xim1-ebe3868d0ed64af19015422028544465-640-0.jpg	Chimola		no	Inicio > Productos
31181270	CARTUCHERA 1 CIERRE JIRAFA		https://www.tienda.chimola.com.ar/productos/cartuchera-1-cierre-jirafa/	280 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/cartuchera-canopla-cierre-chimola-wild-spirit-jirafa_iz823914079xvzgrandexpz1xfz237691206-9128799851-2xsz237691206xim1-f912ead5413c9a2ec015422027179843-640-0.jpg	Chimola		no	Inicio > Productos
31181237	CARTUCHERA CANOPLA 3 CIERRES UNICORNIO	"
"	https://www.tienda.chimola.com.ar/productos/cartuchera-canopla-3-cierres-unicornio/	400 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/cartuchera-canopla-cierres-chimola-wild-spirit-unicornio_iz823927800xvzgrandexpz1xfz237691206-450289832-1xsz237691206xim1-a0db1ba5060d5a9e0815422026035014-640-0.jpg	Chimola		no	Inicio > Productos
31181102	"MOCHILA ESPALDA 12"" JIRAFA"	"
"	https://www.tienda.chimola.com.ar/productos/mochila-espalda-12-jirafa/	640 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/mochila-jardin-espalda-wild-spirit-jirafa-12_iz809294748xvzgrandexpz1xfz237691206-71995898516-3xsz237691206xim11-0a0220954d12bb776d15422021273684-640-0.jpg	Chimola		no	Inicio > Productos
31181079	CARTUCHERA CANOPLA 1 CIERRE KOALA	"
"	https://www.tienda.chimola.com.ar/productos/cartuchera-canopla-1-cierre-koala/	340 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/cartuchera-canopla-cierres-chimola-wild-spirit-koala_iz823921821xvzgrandexpz1xfz237691206-970529642-1xsz237691206xim11-14fc08a620cecc3f3015422020445904-640-0.jpg	Chimola		no	Inicio > Productos
31181048	"MOCHILA ESPALDA 16"" KOALA"		https://www.tienda.chimola.com.ar/productos/mochila-espalda-16-koala/	1100 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/mochila-escolar-mediana-espalda-chimola-wild-spirit-koala-16_iz808283821xvzgrandexpz1xfz237691206-14640184457-2xsz237691206xim1-a8ec223dd5b5f96b3e15422019517159-640-0.jpg	Chimola		no	Inicio > Productos
31181012	"MOCHILA CARRO UNICORNIO 12"""	"
"	https://www.tienda.chimola.com.ar/productos/mochila-carro-unicornio-121/	900 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/mochila-jardin-con-carrito-chimola-wild-spirit-unicornio-12_iz808202818xvzgrandexpz1xfz237691206-26747337025-2xsz237691206xim11-014d03754c3831962915422018236098-640-0.jpg	Chimola		no	Inicio > Productos
